title,where,date,date_end,how,scope,artwork,media,artist,where_url,event_url,annote,url,notes
"Newborn Creations","Lotte Lehman Concert Hall, University of California Santa Barbara","2005","","Juried","Local","Cafiaspirina","","Graham Wakefield","","","","",""
"Wave*Pulse","Lotte Lehman Concert Hall, University of California Santa Barbara","2005","","Juried","Local","Takeaway","","Graham Wakefield","","","","",""
"Sound Installations","Goldsmiths College University of London","2004-07","","Group show","Local","Time-Variant Audio-Visual Canvasses","","Graham Wakefield","","","","",""
"","Goldsmiths College University of London","2004","","Juried","Local","Camino Outset","","Graham Wakefield","","","","",""
"","http://www.site-specific.net/somethingsomewhere","1999","2004","Curated","Online","Something Somewhere","","Graham Wakefield","","","","",""
"","http://www.microsound.org/projects/project.php?name=Klanghausen","2003-08","","Juried","Online","Nervoheal","","Graham Wakefield","","","","",""
"","Goldsmiths College University of London","2003-03","","Invited","Local","New Noise","","Graham Wakefield, Joby Burgess (vibraphone)","","","","",""
"New Noise","Goldsmiths College University of London","2003","","Juried","Local","Cafiaspirina","","Graham Wakefield","","","","",""
"Noche (soundtrack, short film)","Santiago, Chile","2000","","Invited","Local","Mambotaxi","","Graham Wakefield, Philipe Boisier, Memo Dumay","","","","",""
"1er Acto (soundtrack, short film)","Santiago, Chile","2000","","Invited","Local","Mambotaxi","","Graham Wakefield, Philipe Boisier, Memo Dumay","","","","",""
"Perdidos en el Espacio LP","Universidad de Chile Records, Santiago, Chile","2000","","Invited","Local","Mambotaxi","","Graham Wakefield, Philipe Boisier, Memo Dumay","","","","",""
"Ese Olor (soundtrack, short film)","Santiago, Chile","1999","","Invited","Local","Mambotaxi","","Graham Wakefield, Philipe Boisier, Memo Dumay","","","","",""
"Amanda & Simon EP","Combo Discos, Santiago, Chile","1999","","Invited","Local","Mambotaxi","","Graham Wakefield, Philipe Boisier, Memo Dumay","","","","",""
